AVERAGE PRECISION = 0.8033898305084746 
lat, long, sf, bw, lsnr, RSSI, len, tmst_dif, TESTE, PREDICT, PROB, DECISION 
[38.723804, -9.161392, 12, 125, -14.5, -113.0, 28, 5025] 		, 0 , 0 , [1. 0.]	 , NORMAL
[38.723804, -9.161392, 12, 125, -12.0, -118.0, 28, 4004] 		, 0 , 0 , [1. 0.]	 , NORMAL
[38.723804, -9.161392, 12, 125, -14.8, -115.0, 28, 4004] 		, 0 , 0 , [1. 0.]	 , NORMAL
[38.723804, -9.161392, 12, 125, -14.2, -116.0, 28, 59062] 		, 0 , 0 , [1. 0.]	 , NORMAL
[38.723804, -9.161392, 12, 125, -13.5, -117.0, 28, 61043] 		, 0 , 0 , [1. 0.]	 , NORMAL
[38.723804, -9.161392, 12, 125, -10.5, -115.0, 28, 4005] 		, 0 , 0 , [1. 0.]	 , NORMAL
[38.723804, -9.161392, 12, 125, -16.5, -113.0, 28, 4024] 		, 0 , 0 , [1. 0.]	 , NORMAL
[38.723804, -9.161392, 12, 125, -12.0, -116.0, 28, 73076] 		, 0 , 0 , [1. 0.]	 , NORMAL
[38.723804, -9.161392, 12, 125, -12.0, -116.0, 28, 57099] 		, 0 , 0 , [1. 0.]	 , NORMAL
[38.723804, -9.161392, 12, 125, -12.0, -110.0, 28, 66068] 		, 0 , 0 , [1. 0.]	 , NORMAL
[38.723804, -9.161392, 12, 125, -11.8, -112.0, 28, 4004] 		, 0 , 0 , [1. 0.]	 , NORMAL
[38.723804, -9.161392, 12, 125, -14.5, -115.0, 28, 4004] 		, 0 , 0 , [1. 0.]	 , NORMAL
[38.723804, -9.161392, 12, 125, -13.5, -115.0, 28, 59061] 		, 0 , 0 , [1. 0.]	 , NORMAL
[38.723804, -9.161392, 12, 125, -11.5, -117.0, 28, 4004] 		, 0 , 0 , [1. 0.]	 , NORMAL
[38.723804, -9.161392, 12, 125, -12.0, -118.0, 28, 59062] 		, 0 , 0 , [1. 0.]	 , NORMAL
[38.723804, -9.161392, 12, 125, -11.8, -108.0, 28, 5005] 		, 0 , 0 , [1. 0.]	 , NORMAL
[38.723804, -9.161392, 12, 125, -13.5, -115.0, 28, 5005] 		, 0 , 0 , [1. 0.]	 , NORMAL
[38.723804, -9.161392, 12, 125, -12.5, -117.0, 28, 3924] 		, 0 , 0 , [1. 0.]	 , NORMAL
[38.723804, -9.161392, 12, 125, -11.8, -113.0, 28, 3964] 		, 0 , 0 , [1. 0.]	 , NORMAL
[38.723804, -9.161392, 12, 125, -10.8, -115.0, 28, 61144] 		, 0 , 0 , [1. 0.]	 , NORMAL
[38.723804, -9.161392, 12, 125, -10.8, -119.0, 28, 4004] 		, 0 , 0 , [1. 0.]	 , NORMAL
[38.723804, -9.161392, 12, 125, -13.2, -118.0, 28, 65067] 		, 0 , 0 , [1. 0.]	 , NORMAL
[38.723804, -9.161392, 12, 125, -15.5, -115.0, 28, 131136] 		, 0 , 0 , [1. 0.]	 , NORMAL
[38.723804, -9.161392, 12, 125, -11.0, -115.0, 28, 4985] 		, 0 , 0 , [1. 0.]	 , NORMAL
[38.723804, -9.161392, 12, 125, -14.8, -112.0, 28, 5065] 		, 0 , 0 , [1. 0.]	 , NORMAL
